what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1329986842384
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1329986842384
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1329986842384
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1329986842384
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1329986842384
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1329986842384
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1329986842400
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329986842400
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1329986842400
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329986842400
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1329986842400
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1329986842400
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1329986842400
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1329986842400
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1329986842416
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1329986842416
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1329986842416
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer",1329986842416
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.GXT",1329986842416
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1329986842416
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer.UiBinder",1329986842416
started,bundle,com.google.gdt.eclipse.designer.hosted,2.4.2.r37x201110181233,"com.google.gdt.eclipse.designer.hosted",1329986842431
started,bundle,org.eclipse.wb.core,1.2.0.r37x201109270310,"org.eclipse.wb.core",1329986842431
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201109270310,"org.eclipse.wb.core.lib",1329986842431
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1329986842431
os,sysinfo,,,"win32",1329986842447
arch,sysinfo,,,"x86",1329986842447
ws,sysinfo,,,"win32",1329986842447
locale,sysinfo,,,"en_US",1329986842447
processors,sysinfo,,,"2",1329986842447
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329986842447
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1329986842447
java.specification.name,sysinfo,,,"Java Platform API Specification",1329986842447
java.specification.vendor,sysinfo,,,"Oracle Corporation",1329986842447
java.specification.version,sysinfo,,,"1.7",1329986842447
java.vendor,sysinfo,,,"Oracle Corporation",1329986842447
java.version,sysinfo,,,"1.7.0_02",1329986842447
java.vm.info,sysinfo,,,"mixed mode, sharing",1329986842447
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1329986842447
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329986842447
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1329986842447
java.vm.specification.version,sysinfo,,,"1.7",1329986842447
java.vm.vendor,sysinfo,,,"Oracle Corporation",1329986842447
java.vm.version,sysinfo,,,"22.0-b10",1329986842447
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329986842462
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329986843944
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1329986845270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329986870345
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1329986870376
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329986872825
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329986873137
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329986874323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329986875228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329987182469
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329987255602
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329987267114
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329987278736
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329987314523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329987798451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329987817077
