what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982520649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982521897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982887891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982888577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982890371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982890948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982893023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982907114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982910920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982955933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329982957009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329983010876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329983013231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329983067644
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329983070374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329983286606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329983287745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329983294921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329983296138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329983297750
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329983298186
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1329983299029
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1329983300199
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1329983300214
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1329983300214
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1329983300246
